trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
181,highgain,1,2,1,Drift2,1
182,highgain,1,2,1,Drift2,2
183,highloss,1,1.5,1,Drift4,1
184,highgain,1,1.5,1,Drift2,3
185,lowgain,1.5,2,0,Drift3,1
186,lowgain,1,2,1,Drift3,2
187,lowloss,1,1.5,1,Drift1,1
188,highgain,1,1.5,1,Drift2,4
189,highloss,1.5,1.5,1,Drift4,2
190,lowgain,1.5,1.5,0,Drift3,3
191,lowloss,1,1.5,0,Drift1,2
192,lowgain,1.5,2,1,Drift3,4
193,highloss,1.5,1.5,0,Drift4,3
194,highgain,1.5,1.5,1,Drift2,5
195,lowloss,1,2.5,1,Drift1,3
196,highloss,1.5,1.5,0,Drift4,4
197,highgain,1,2,1,Drift2,6
198,highgain,1.5,2.5,1,Drift2,7
199,lowgain,1.5,2,0,Drift3,5
200,highloss,2,1.5,1,Drift4,5
201,highloss,1,2.5,1,Drift4,6
202,lowgain,1.5,2.5,1,Drift3,6
203,lowloss,2,2,1,Drift1,4
204,lowgain,1,2,1,Drift3,7
205,lowloss,1,2,1,Drift1,5
206,lowgain,2,1.5,1,Drift3,8
207,lowgain,1,1.5,1,Drift3,9
208,highloss,1.5,1.5,1,Drift4,7
209,lowloss,1.5,1.5,1,Drift1,6
210,highgain,1.5,2,0,Drift2,8
211,highloss,2,2.5,0,Drift4,8
212,highloss,1,2,1,Drift4,9
213,highgain,1,1.5,1,Drift2,9
214,highloss,1.5,1.5,1,Drift4,10
215,highloss,1.5,2,0,Drift4,11
216,lowloss,1.5,2,1,Drift1,7
217,lowgain,1,2.5,1,Drift3,10
218,lowgain,1,2.5,1,Drift3,11
219,lowloss,1,1.5,1,Drift1,8
220,lowloss,1,2,1,Drift1,9
221,highloss,1,2.5,1,Drift4,12
222,lowloss,1.5,1.5,1,Drift1,10
223,highloss,1.5,2.5,1,Drift4,13
224,highgain,2,1.5,1,Drift2,10
225,highgain,1,1.5,1,Drift2,11
226,lowgain,2,2,1,Drift3,12
227,lowgain,1.5,2.5,1,Drift3,13
228,highgain,1,1.5,1,Drift2,12
229,highloss,1,1.5,0,Drift4,14
230,highgain,1.5,1.5,0,Drift2,13
231,lowloss,2,1.5,1,Drift1,11
232,lowloss,1,2,1,Drift1,12
233,lowloss,1,1.5,0,Drift1,13
234,lowgain,1,1.5,1,Drift3,14
235,lowgain,1,1.5,1,Drift3,15
236,lowloss,2,1.5,1,Drift1,14
237,highgain,1,2,0,Drift2,14
238,lowloss,2,2,0,Drift1,15
239,highloss,1,2,0,Drift4,15
240,highgain,2,1.5,0,Drift2,15
