trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
181,lowloss,1,2,0,Drift2,1
182,lowloss,1,2,1,Drift2,2
183,lowgain,1,1.5,1,Drift4,1
184,lowloss,1,1.5,0,Drift2,3
185,highgain,1.5,2,1,Drift3,1
186,highgain,1,2,1,Drift3,2
187,highloss,1,1.5,1,Drift1,1
188,lowloss,1,1.5,1,Drift2,4
189,lowgain,1.5,1.5,0,Drift4,2
190,highgain,1.5,1.5,0,Drift3,3
191,highloss,1,1.5,1,Drift1,2
192,highgain,1.5,2,0,Drift3,4
193,lowgain,1.5,1.5,1,Drift4,3
194,lowloss,1.5,1.5,0,Drift2,5
195,highloss,1,2.5,1,Drift1,3
196,lowgain,1.5,1.5,1,Drift4,4
197,lowloss,1,2,1,Drift2,6
198,lowloss,1.5,2.5,1,Drift2,7
199,highgain,1.5,2,1,Drift3,5
200,lowgain,2,1.5,1,Drift4,5
201,lowgain,1,2.5,1,Drift4,6
202,highgain,1.5,2.5,1,Drift3,6
203,highloss,2,2,1,Drift1,4
204,highgain,1,2,1,Drift3,7
205,highloss,1,2,1,Drift1,5
206,highgain,2,1.5,0,Drift3,8
207,highgain,1,1.5,1,Drift3,9
208,lowgain,1.5,1.5,1,Drift4,7
209,highloss,1.5,1.5,1,Drift1,6
210,lowloss,1.5,2,1,Drift2,8
211,lowgain,2,2.5,1,Drift4,8
212,lowgain,1,2,1,Drift4,9
213,lowloss,1,1.5,1,Drift2,9
214,lowgain,1.5,1.5,1,Drift4,10
215,lowgain,1.5,2,1,Drift4,11
216,highloss,1.5,2,1,Drift1,7
217,highgain,1,2.5,1,Drift3,10
218,highgain,1,2.5,0,Drift3,11
219,highloss,1,1.5,0,Drift1,8
220,highloss,1,2,1,Drift1,9
221,lowgain,1,2.5,1,Drift4,12
222,highloss,1.5,1.5,1,Drift1,10
223,lowgain,1.5,2.5,0,Drift4,13
224,lowloss,2,1.5,1,Drift2,10
225,lowloss,1,1.5,1,Drift2,11
226,highgain,2,2,1,Drift3,12
227,highgain,1.5,2.5,1,Drift3,13
228,lowloss,1,1.5,1,Drift2,12
229,lowgain,1,1.5,1,Drift4,14
230,lowloss,1.5,1.5,1,Drift2,13
231,highloss,2,1.5,1,Drift1,11
232,highloss,1,2,1,Drift1,12
233,highloss,1,1.5,0,Drift1,13
234,highgain,1,1.5,0,Drift3,14
235,highgain,1,1.5,0,Drift3,15
236,highloss,2,1.5,0,Drift1,14
237,lowloss,1,2,1,Drift2,14
238,highloss,2,2,0,Drift1,15
239,lowgain,1,2,0,Drift4,15
240,lowloss,2,1.5,1,Drift2,15
