trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
61,lowloss,1.5,2,1,Drift4,1
62,lowloss,3,2.5,1,Drift4,2
63,lowgain,2.5,2,1,Drift2,1
64,lowloss,2,2,1,Drift4,3
65,highgain,1.5,2,1,Drift1,1
66,highgain,2,1.5,1,Drift1,2
67,highloss,2,3.5,1,Drift3,1
68,lowloss,2.5,3,1,Drift4,4
69,lowgain,1.5,3.5,1,Drift2,2
70,highgain,3,2,1,Drift1,3
71,highloss,2.5,2.5,0,Drift3,2
72,highgain,2,2,0,Drift1,4
73,lowgain,2.5,2.5,1,Drift2,3
74,lowloss,3,2,1,Drift4,5
75,highloss,1.5,2,1,Drift3,3
76,lowgain,2,2,1,Drift2,4
77,lowloss,2,2,1,Drift4,6
78,lowloss,2,3,0,Drift4,7
79,highgain,3,2.5,0,Drift1,5
80,lowgain,1.5,2,1,Drift2,5
81,lowgain,1.5,3,1,Drift2,6
82,highgain,3,2,1,Drift1,6
83,highloss,2,2.5,1,Drift3,4
84,highgain,2,1.5,1,Drift1,7
85,highloss,2,3.5,0,Drift3,5
86,highgain,2,2.5,0,Drift1,8
87,highgain,3,2,0,Drift1,9
88,lowgain,3,2,1,Drift2,7
89,highloss,2,1.5,1,Drift3,6
90,lowloss,2.5,1.5,1,Drift4,8
91,lowgain,1.5,1.5,1,Drift2,8
92,lowgain,1.5,1.5,0,Drift2,9
93,lowloss,1.5,3,1,Drift4,9
94,lowgain,2.5,3,1,Drift2,10
95,lowgain,1.5,2.5,0,Drift2,11
96,highloss,3,3,1,Drift3,7
97,highgain,3,1.5,0,Drift1,10
98,highgain,3,2,0,Drift1,11
99,highloss,2,3,0,Drift3,8
100,highloss,1.5,3,1,Drift3,9
101,lowgain,2,2,1,Drift2,12
102,highloss,2.5,1.5,1,Drift3,10
103,lowgain,2,2.5,1,Drift2,13
104,lowloss,3.5,3,1,Drift4,10
105,lowloss,1.5,3,1,Drift4,11
106,highgain,2.5,2,1,Drift1,12
107,highgain,1.5,1.5,1,Drift1,13
108,lowloss,2.5,2.5,0,Drift4,12
109,lowgain,1.5,3.5,1,Drift2,14
110,lowloss,3.5,3.5,1,Drift4,13
111,highloss,1.5,2.5,1,Drift3,11
112,highloss,1.5,2,0,Drift3,12
113,highloss,2,2,1,Drift3,13
114,highgain,2,2,1,Drift1,14
115,highgain,2.5,3,1,Drift1,15
116,highloss,2.5,3,1,Drift3,14
117,lowloss,1.5,2.5,1,Drift4,14
118,highloss,3,2.5,1,Drift3,15
119,lowgain,2.5,3,1,Drift2,15
120,lowloss,2,3,0,Drift4,15
