trialOrder,condition,fixationDuration,outcomeDelay,optcorrect,CBDrifts,CondOrder
121,lowgain,3.5,2.5,1,Drift1,1
122,lowgain,1.5,2.5,1,Drift1,2
123,lowloss,3,1.5,1,Drift3,1
124,lowgain,2,1.5,1,Drift1,3
125,highloss,3,1.5,1,Drift2,1
126,highloss,2.5,2,0,Drift2,2
127,highgain,2,2,0,Drift4,1
128,lowgain,1.5,2,1,Drift1,4
129,lowloss,2.5,3,1,Drift3,2
130,highloss,2.5,2,0,Drift2,3
131,highgain,3,1.5,1,Drift4,2
132,highloss,3,1.5,0,Drift2,4
133,lowloss,3,1.5,0,Drift3,3
134,lowgain,3,2.5,1,Drift1,5
135,highgain,3,2,1,Drift4,3
136,lowloss,2.5,2.5,1,Drift3,4
137,lowgain,2,1.5,1,Drift1,6
138,lowgain,3,3.5,0,Drift1,7
139,highloss,2,2,1,Drift2,5
140,lowloss,2.5,3,1,Drift3,5
141,lowloss,2,3,0,Drift3,6
142,highloss,1.5,2.5,1,Drift2,6
143,highgain,2,1.5,1,Drift4,4
144,highloss,2,1.5,1,Drift2,7
145,highgain,2.5,1.5,1,Drift4,5
146,highloss,1.5,3,0,Drift2,8
147,highloss,2.5,2.5,1,Drift2,9
148,lowloss,1.5,2,1,Drift3,7
149,highgain,3,3,1,Drift4,6
150,lowgain,2.5,2.5,1,Drift1,8
151,lowloss,3.5,1.5,1,Drift3,8
152,lowloss,2.5,1.5,0,Drift3,9
153,lowgain,2,2.5,1,Drift1,9
154,lowloss,1.5,1.5,1,Drift3,10
155,lowloss,2.5,1.5,0,Drift3,11
156,highgain,2,2,0,Drift4,7
157,highloss,1.5,3,0,Drift2,10
158,highloss,2.5,3,1,Drift2,11
159,highgain,3,1.5,1,Drift4,8
160,highgain,2,3,0,Drift4,9
161,lowloss,3,3,1,Drift3,12
162,highgain,2.5,2,0,Drift4,10
163,lowloss,2,3,1,Drift3,13
164,lowgain,2,2.5,0,Drift1,10
165,lowgain,2,2.5,0,Drift1,11
166,highloss,2.5,3,1,Drift2,12
167,highloss,2.5,2.5,0,Drift2,13
168,lowgain,2.5,3.5,1,Drift1,12
169,lowloss,3.5,1.5,1,Drift3,14
170,lowgain,2.5,3.5,0,Drift1,13
171,highgain,2.5,3,0,Drift4,11
172,highgain,1.5,2.5,1,Drift4,12
173,highgain,2,3,1,Drift4,13
174,highloss,1.5,2,1,Drift2,14
175,highloss,3,1.5,1,Drift2,15
176,highgain,2,3.5,0,Drift4,14
177,lowgain,2.5,3,1,Drift1,14
178,highgain,2.5,2,1,Drift4,15
179,lowloss,2,3,1,Drift3,15
180,lowgain,2.5,3,1,Drift1,15
